,dataset_id_custom,cell_type,assay,count_celltype,dataset_id,count,collection_name,collection_doi_label,dataset_title,citation,soma_joinid,proportion_celltype,assay_short,cell_type_broad
0,Arunachalam,"CD16-negative, CD56-bright natural killer cell, human",10x 3' v3,128,59b69042-47c2-47fd-ad03-d21beb99818f,25954,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,Jin et al. (2021) iScience,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fbe23743-b3b5-4e2c-9bb2-95ee14d36783.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc,1082,0.4931802419665562,10x 3',NK cells
1,Arunachalam,"CD4-positive, alpha-beta cytotoxic T cell",10x 3' v3,596,59b69042-47c2-47fd-ad03-d21beb99818f,25954,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,Jin et al. (2021) iScience,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fbe23743-b3b5-4e2c-9bb2-95ee14d36783.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc,1082,2.296370501656777,10x 3',T cells CD4 conv
2,Arunachalam,"activated CD4-positive, alpha-beta T cell, human",10x 3' v3,12,59b69042-47c2-47fd-ad03-d21beb99818f,25954,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,Jin et al. (2021) iScience,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fbe23743-b3b5-4e2c-9bb2-95ee14d36783.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc,1082,0.046235647684364646,10x 3',T cells CD4 conv
3,Arunachalam,"activated CD8-positive, alpha-beta T cell, human",10x 3' v3,1,59b69042-47c2-47fd-ad03-d21beb99818f,25954,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,Jin et al. (2021) iScience,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fbe23743-b3b5-4e2c-9bb2-95ee14d36783.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc,1082,0.00385297064036372,10x 3',T cells CD8
4,Arunachalam,"central memory CD4-positive, alpha-beta T cell",10x 3' v3,2812,59b69042-47c2-47fd-ad03-d21beb99818f,25954,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,Jin et al. (2021) iScience,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fbe23743-b3b5-4e2c-9bb2-95ee14d36783.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc,1082,10.834553440702782,10x 3',T cells CD4 conv
5,Arunachalam,classical monocyte,10x 3' v3,4564,59b69042-47c2-47fd-ad03-d21beb99818f,25954,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,Jin et al. (2021) iScience,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fbe23743-b3b5-4e2c-9bb2-95ee14d36783.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc,1082,17.58495800262002,10x 3',Monocytes
6,Arunachalam,conventional dendritic cell,10x 3' v3,1953,59b69042-47c2-47fd-ad03-d21beb99818f,25954,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,Jin et al. (2021) iScience,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fbe23743-b3b5-4e2c-9bb2-95ee14d36783.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc,1082,7.524851660630345,10x 3',mDC
7,Arunachalam,"effector memory CD8-positive, alpha-beta T cell",10x 3' v3,2310,59b69042-47c2-47fd-ad03-d21beb99818f,25954,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,Jin et al. (2021) iScience,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fbe23743-b3b5-4e2c-9bb2-95ee14d36783.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc,1082,8.900362179240194,10x 3',T cells CD8
8,Arunachalam,erythrocyte,10x 3' v3,13,59b69042-47c2-47fd-ad03-d21beb99818f,25954,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,Jin et al. (2021) iScience,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fbe23743-b3b5-4e2c-9bb2-95ee14d36783.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc,1082,0.050088618324728364,10x 3',other
9,Arunachalam,hematopoietic stem cell,10x 3' v3,266,59b69042-47c2-47fd-ad03-d21beb99818f,25954,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,Jin et al. (2021) iScience,Individual Single-Cell RNA-seq PBMC Data from Arunachalam et al.,Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fbe23743-b3b5-4e2c-9bb2-95ee14d36783.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc,1082,1.0248901903367496,10x 3',other
